m09e1,m09a1,m09b1,m09d1,m09f1,m09g1,m09h1,m09i1,m09m1,m09n1,m09s1,m09c1,m11a1,m11a2,m11a3,m11a4,m17d1,m09o1,m21d,m21e,m21f,m06h1,m17e1,m17c1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0
1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0
1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0
0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1
1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1
0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0
1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1
0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0
0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1
0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1
0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0
1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0
0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0
0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0
0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0
0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1
1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1
0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0
0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1
0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1
